コンテンツID※空欄で構いません。特定の値を設定したい場合に入力してください。,title,description,content,category,thumbnail
,コーポレートサイトのリニューアル制作,企業の信頼感と事業内容の伝わりやすさを重視した、コーポレートサイトのリニューアル事例です。,既存サイトの情報構造を整理し、サービス内容、会社の強み、問い合わせ導線が自然につながる構成に再設計しました。トップページではファーストビューで事業の価値が伝わるようにキャッチコピーと導線を配置し、下層ページでは読みやすさと更新しやすさを両立しています。スマートフォン表示でも情報が詰まりすぎないよう、余白と文字サイズを調整した制作事例です。,corporate,
,採用サイト向けトップページデザイン,求職者に会社の雰囲気が伝わるように設計した採用サイトのトップページ案です。,採用サイトでは、条件だけでなく働く人や職場の空気感が伝わることを重視しました。メインビジュアル、社員紹介、仕事内容、選考フロー、よくある質問を自然な順番で配置し、応募前の不安を減らす構成にしています。写真が少ない場合でも成立するよう、色面とカードUIを使って明るく見えるデザインにまとめました。,recruit,
,美容サロンのランディングページ制作,予約につながる導線を重視した、美容サロン向けLPのダミー制作実績です。,美容サロンの魅力が短時間で伝わるよう、ファーストビュー、悩みの提示、サービス紹介、施術の流れ、料金、予約導線を1ページに整理しました。スマートフォンからの閲覧を想定し、ボタンの位置や文章量を調整しています。淡い配色と大きめの写真エリアを使い、清潔感と親しみやすさを両立した構成です。,landing-page,
,飲食店メニューサイトの制作,店舗情報とメニューを見やすく整理した、飲食店向けWebサイトの制作例です。,飲食店サイトとして、メニュー、店舗情報、営業時間、アクセス、予約導線をシンプルにまとめました。特にスマートフォンでの閲覧を重視し、メニュー画像と価格が見やすくなるようカード型のレイアウトを採用しています。更新頻度が高い情報は管理しやすい構造にし、店舗側でも運用しやすいサイトを想定しています。,ec,
,地域密着型サービスサイトの構築,地域の利用者に安心感を与えることを目的にしたサービスサイトの制作事例です。,地域密着型の事業では、サービス内容だけでなく運営者の顔が見える安心感が重要です。そのため、代表メッセージ、サービスの流れ、料金、対応エリア、お客様の声を分かりやすく配置しました。派手さよりも信頼性を優先し、落ち着いた配色と読みやすい文章設計で構成しています。,service,
,Next.jsを使ったニュースサイト実装,Next.jsとmicroCMSを組み合わせたニュース配信サイトの実装サンプルです。,記事一覧、カテゴリー表示、詳細ページ、検索ページを想定したニュースサイトの実装例です。microCMSから取得した記事データをNext.jsで表示し、日付整形やページ分割にも対応できる構成にしています。静的生成と再検証の使い分けを意識し、更新性と表示速度のバランスを考えたサンプルです。,web-app,
,WordPressサイトの保守改善,既存WordPressサイトの表示崩れや導線を改善した保守対応の実績です。,既存のWordPressサイトについて、スマートフォンでの表示崩れ、不要な余白、古い情報の整理、問い合わせ導線の改善を行った想定の事例です。大きなリニューアルではなく、運用中サイトを止めずに少しずつ改善する進め方を重視しました。管理画面で更新しやすい状態を保ちながら、ユーザーが迷いにくいサイトに整えています。,service,
,オンライン予約フォームのUI改善,入力しやすさと離脱防止を目的にした予約フォーム改善の制作例です。,予約フォームでは、入力項目の多さや分かりにくい文言が離脱の原因になります。この事例では、項目の順番、ラベル、エラーメッセージ、確認画面への導線を見直し、ユーザーが迷わず入力できるUIを設計しました。スマートフォンでのタップしやすさも考慮し、余白とボタンサイズを調整しています。,ui-design,
,士業向けホームページ制作,専門性と相談しやすさを両立させた士業向けサイトの制作事例です。,士業サイトでは、専門的な信頼感と相談のしやすさの両方が大切です。サービス一覧、解決できる課題、料金の目安、相談の流れ、プロフィールを整理し、初めて訪れた人でも問い合わせまで進みやすい構成にしました。色使いは落ち着いたトーンにし、文章は専門用語を使いすぎないよう配慮しています。,corporate,
,医療系サイトの情報設計,患者や利用者が必要な情報にたどり着きやすいよう設計した医療系サイトの構成例です。,医療系サイトでは、診療内容、受付時間、アクセス、予約方法、よくある質問などを素早く確認できることが重要です。この事例では、トップページに主要導線を集約し、下層ページでは詳細情報を分かりやすく整理しました。安心感を与えるため、余白を広く取り、視認性の高いデザインにしています。,medical,
,ECサイトの商品一覧UI制作,商品を探しやすく、比較しやすい一覧画面を意識したECサイトUIの制作例です。,ECサイトの商品一覧では、写真、価格、カテゴリ、在庫状況、詳細への導線を分かりやすく表示する必要があります。このサンプルでは、カード型レイアウトを使い、情報量が多くても見やすい一覧画面を設計しました。絞り込みや並び替えの追加も想定し、将来的に拡張しやすい構成にしています。,ec,
,イベント告知ページの制作,開催概要と申し込み導線を分かりやすくまとめたイベントページの制作事例です。,イベント告知ページとして、日時、会場、参加対象、内容、登壇者、申し込み方法を1ページで確認できる構成にしました。ファーストビューで開催内容が伝わるようにし、申し込みボタンは複数箇所に配置しています。情報の更新が発生しやすいページのため、CMSで編集しやすい項目分けも意識した設計です。,landing-page,
,個人ポートフォリオサイト制作,制作者のスキル、実績、問い合わせ導線を整理したポートフォリオサイトの制作例です。,個人のポートフォリオサイトとして、自己紹介、制作実績、対応できること、制作の流れ、お問い合わせをシンプルに配置しました。実績が増えても管理しやすいよう、CMSで記事を追加できる構成を想定しています。過度な装飾よりも、見やすさと信頼感を優先したデザインです。,portfolio,
,Shopifyテーマのカスタマイズ,ブランドの雰囲気に合わせてShopifyテーマを調整したECサイト制作例です。,Shopifyの既存テーマをベースに、トップページ、商品詳細、コレクションページの見え方を調整した想定の制作実績です。ブランドカラーや余白、ボタンデザインを整え、購入までの導線が分かりやすくなるように改善しました。運用担当者が商品追加やバナー変更を行いやすい構成も意識しています。,ec,
,Studioサイトのカスタム調整,ノーコード制作サイトにCSS調整を加えたWebサイト改善の事例です。,Studioで制作されたサイトに対して、ヘッダー、ナビゲーション、ホバー表現、余白調整などの細かなカスタムを行った想定の事例です。ノーコードの管理しやすさを保ちながら、標準機能だけでは表現しにくい部分をCSSで補っています。見た目の完成度と運用性のバランスを重視しました。,service,
,問い合わせ導線の改善デザイン,問い合わせ数の増加を目的に、導線とCTAを見直した改善事例です。,サイト全体を見直し、ユーザーがどの段階で問い合わせに進むのかを整理しました。ファーストビュー、サービス紹介、実績紹介、よくある質問の後に自然にCTAを配置し、ボタン文言も具体的に改善しています。デザイン変更だけでなく、ユーザー心理に合わせた情報設計を行ったサンプルです。,ui-design,
,会社概要ページのリデザイン,信頼感と読みやすさを重視して会社概要ページを再設計した制作例です。,会社概要ページは、企業の信頼性を確認する重要なページです。この事例では、代表挨拶、沿革、事業内容、所在地、アクセス情報を整理し、必要な情報にすぐたどり着ける構成にしました。表組みや余白を整え、スマートフォンでも読みやすいレイアウトにしています。,corporate,
,サービス紹介ページの構成制作,複数サービスの違いが分かるように整理したサービス紹介ページの制作例です。,複数のサービスを扱うサイトでは、それぞれの違いや選び方が分かりにくくなることがあります。この事例では、サービスごとの特徴、対象者、料金の目安、導入の流れをカード形式で整理しました。ユーザーが自分に合うサービスを判断しやすくなるよう、比較しやすい構成にしています。,service,
,ブログ機能付き企業サイト,お知らせやコラムを更新できる企業サイトのCMS実装サンプルです。,企業サイトにブログ機能を追加し、ニュース、コラム、実績紹介をCMSから更新できる構成にした制作例です。一覧ページ、詳細ページ、カテゴリー別表示を用意し、運用担当者が継続的に情報発信できるようにしています。SEOを意識し、タイトルや説明文も管理できる設計を想定しています。,web-app,
,施設紹介サイトの制作,施設の雰囲気や利用方法を分かりやすく伝える紹介サイトの制作例です。,施設紹介サイトとして、設備、利用時間、料金、アクセス、よくある質問を整理しました。写真が中心になるページでは、画像の見せ方とテキスト量のバランスが重要です。ユーザーが来館前に知りたい情報を迷わず確認できるよう、ページ構成と導線を整えています。,service,
,キャンペーンLPの制作,短期間の集客を目的にしたキャンペーン用ランディングページの制作例です。,キャンペーンLPでは、特典内容、対象期間、申し込み条件、参加方法を分かりやすく伝える必要があります。この事例では、ファーストビューでメリットを明確にし、ページ下部まで読まなくても申し込みに進める導線を配置しました。緊急性を出しつつ、過度に煽らない表現にしています。,landing-page,
